date,symbol,entryPrice,exitPrice,pnl,solIn,heldMin,exitReason
2026-03-31T16:43:26.278Z,Chicky,5.619e-7,4.001701972629371e-7,-28.78%,0.015 SOL,0.0min,Stop loss -28.8%
2026-03-31T16:56:06.494Z,SIGMA,0.000001049,0.0000012125880616274357,15.59%,0.015 SOL,1.5min,TP1 +15.6%
2026-03-31T16:56:36.220Z,BB,3.059e-7,3.557270317661345e-7,16.29%,0.015 SOL,5.6min,TP1 +16.3%
2026-03-31T16:58:16.223Z,BB,3.059e-7,4.775234961365424e-7,56.10%,0.015 SOL,7.3min,TP2 +56.1%
2026-03-31T16:59:36.251Z,SIGMA,0.000001049,0.0000010476129911703571,-0.13%,0.015 SOL,5.0min,Trail -13.8% from peak
2026-03-31T17:01:16.270Z,BB,4.835e-7,4.5357457335903595e-7,-6.19%,0.015 SOL,0.2min,Rapid bleed -6.2%
2026-03-31T17:11:36.402Z,Kuren,4.944e-7,5.82396608484554e-7,17.80%,0.015 SOL,3.9min,TP1 +17.8%
2026-03-31T17:11:36.587Z,BALLTZE,0.000001874,0.0000017206068626704935,-8.19%,0.015 SOL,0.1min,Rapid bleed -8.2%
2026-03-31T17:17:56.300Z,Kuren,4.944e-7,7.693633106878722e-7,55.62%,0.015 SOL,10.3min,TP2 +55.6%
2026-03-31T17:28:06.360Z,Kuren,7.744e-7,7.229798404010127e-7,-6.64%,0.015 SOL,0.3min,Rapid bleed -6.6%
2026-03-31T17:34:16.355Z,STRC,5.373e-7,5.00677632014019e-7,-6.82%,0.015 SOL,3.2min,Rapid bleed -6.8%
2026-03-31T17:53:50.699Z,BB,4.615e-7,4.318778541179114e-7,-6.42%,0.015 SOL,1.0min,Rapid bleed -6.4%
2026-03-31T18:03:30.730Z,ClawCode,3.685e-7,3.3946465744743536e-7,-7.88%,0.015 SOL,0.6min,Rapid bleed -7.9%
2026-03-31T18:41:00.838Z,Chicky,0.000001495,0.0000012355975686436228,-17.35%,0.015 SOL,4.6min,Stop loss -17.4%
2026-03-31T20:01:31.102Z,Esoteric,8.346e-7,7.698239130315641e-7,-7.76%,0.015 SOL,8.0min,Rapid bleed -7.8%
2026-04-02T13:15:46.286Z,SIP360,0.000001944,0.000001809514099397991,-6.92%,0.015 SOL,1.1min,Rapid bleed -6.9%
2026-04-02T13:19:56.056Z,CLAWBS,0.000002061,4.259812245920776e-7,-79.33%,0.015 SOL,24.1min,Stop loss -79.3%
2026-04-02T13:46:14.519Z,SIP360,0.000002187,0.0000020050853582462766,-8.32%,0.015 SOL,0.5min,Rapid bleed -8.3%
2026-04-02T13:49:54.552Z,Piece,0.000003342,0.000003026648907724104,-9.44%,0.015 SOL,1.3min,Rapid bleed -9.4%
2026-04-02T14:05:04.613Z,ROOTS,4.972e-7,4.4139095876932524e-7,-11.22%,0.015 SOL,4.5min,Rapid bleed -11.2%
2026-04-02T14:23:17.759Z,NASA,0.00001055,0.000009537340987757147,-9.60%,0.015 SOL,2.1min,Rapid bleed -9.6%
2026-04-02T14:39:52.975Z,Mario Galaxy,0.000002922,0.0000033978574571252015,16.29%,0.015 SOL,2.9min,TP1 +16.3%
2026-04-02T14:40:37.821Z,Mario Galaxy,0.000002922,0.000002906351100186583,-0.54%,0.015 SOL,3.6min,Trail -15.3% from peak
2026-04-02T14:45:28.123Z,Mario Galaxy,0.000003078,0.0000028577588675487956,-7.16%,0.015 SOL,3.4min,Rapid bleed -7.2%
